# Deck: 정처기 실기 - 프로그래밍 언어 활용
# Columns: front<TAB>back<TAB>tags
# Anki: File>Import, 구분자=Tab, 필드매핑 Front/Back/Tags
C에서 포인터 변수가 담는 값은?	가리키는 대상의 메모리 주소	c pointer
C 배열명 arr 자체가 의미하는 것은?	첫 번째 원소의 시작 주소(&arr[0])	c array
C에서 *(arr+2)와 같은 표현은?	arr[2]	c pointer array
C 코드 결과: int a=5; printf("%d", a++ + ++a);	12 (a++ =5, ++a=7 → 5+7)	c operator
C에서 1==1 의 결과 자료형과 값은?	int, 1 (참)	c operator
Java에서 오버라이딩(Overriding)의 정의는?	상위 클래스 메서드를 하위 클래스에서 같은 시그니처로 재정의	java oop
Java 오버로딩(Overloading)과 오버라이딩 차이?	오버로딩=같은 이름 다른 매개변수(컴파일타임) / 오버라이딩=상속받아 재정의(런타임)	java oop
Java에서 모든 클래스의 최상위 부모 클래스는?	Object	java oop
Java 추상클래스와 인터페이스 핵심 차이?	추상클래스=일부 구현+단일상속 / 인터페이스=구현 강제+다중구현	java oop
Java에서 부모 생성자 호출 키워드는?	super()	java oop
Java 코드 결과: System.out.println(3/2 + 3.0/2);	2.5 (정수 1 + 실수 1.5)	java operator
Python 리스트 a=[1,2,3,4,5] 에서 a[1:3] 결과는?	[2, 3]	python slicing
Python a=[1,2,3,4,5] 에서 a[::-1] 결과는?	[5, 4, 3, 2, 1] (역순)	python slicing
Python a[-2] 가 가리키는 것은?	뒤에서 두 번째 원소	python slicing
Python에서 딕셔너리 키 존재 확인 연산자는?	in	python dict
Python 코드 결과: print(2 ** 3 % 5)	3 (2**3=8, 8%5=3)	python operator
Python에서 정수 나눗셈(몫) 연산자는?	// (예: 7//2 = 3)	python operator
Python 문자열 'abc' * 2 의 결과는?	'abcabc'	python string
구조적 프로그래밍의 3대 제어구조는?	순차, 선택, 반복	concept
변수의 유효범위(scope)에서 지역변수란?	함수/블록 내부에서 선언되어 그 안에서만 유효한 변수	concept
값에 의한 호출(call by value)과 참조에 의한 호출 차이?	값 호출=복사본 전달(원본 불변) / 참조 호출=주소 전달(원본 변경 가능)	concept
C/Java에서 switch문에 break가 없으면?	다음 case로 계속 실행됨(fall-through)	c java control
